words,chars,u_words,u_chars,sentences,avg_word_length,avg_sent_length,class
36,191,1,16,2,5,18,True
34,128,0,4,4,4,9,False
24,99,1,1,1,4,24,False
30,116,0,1,2,4,15,False
25,107,1,3,3,4,8,False
23,89,0,3,2,4,12,False
20,84,0,1,1,4,20,False
31,122,0,4,4,4,8,False
34,134,0,3,3,4,11,False
23,94,1,4,1,4,23,False
24,128,1,12,2,5,12,False
29,110,0,2,2,4,15,False
19,88,0,1,2,5,10,False
28,113,0,1,2,4,14,False
10,112,7,27,2,11,5,False
17,72,0,2,2,4,9,False
36,137,0,2,3,4,12,False
20,82,0,4,1,4,20,False
36,146,2,7,2,4,18,False
17,86,0,5,2,5,9,False
27,90,0,1,1,3,27,False
30,116,0,4,1,4,30,False
39,182,1,15,5,5,8,True
49,208,3,21,3,4,16,True
48,211,2,24,4,4,12,True
39,179,1,19,3,5,13,True
16,57,0,3,2,4,8,False
53,208,2,20,2,4,27,True
44,193,2,25,3,4,15,True
58,277,1,27,1,5,58,True
48,182,3,25,2,4,24,True
35,140,1,6,2,4,18,False
39,131,4,4,3,3,13,False
35,139,0,5,4,4,9,False
30,110,0,4,2,4,15,False
31,113,0,4,3,4,10,False
26,96,0,2,3,4,9,False
23,86,0,4,3,4,8,False
36,133,0,11,4,4,9,False
47,179,0,2,3,4,16,False
37,141,1,4,3,4,12,False
48,176,0,8,2,4,24,False
41,168,1,6,3,4,14,False
43,161,0,6,4,4,11,False
35,120,0,4,2,3,18,False
36,138,0,2,3,4,12,False
28,118,1,6,3,4,9,False
32,117,0,3,3,4,11,False
30,113,0,2,2,4,15,False
46,224,4,29,3,5,15,True
58,221,1,19,4,4,15,True
51,193,1,23,3,4,17,True
38,168,1,16,2,4,19,True
67,253,3,38,6,4,11,False
48,215,1,23,6,4,8,True
41,171,2,22,4,4,10,True
32,136,1,18,3,4,11,True
49,233,3,22,2,5,25,True
27,112,1,17,3,4,9,True
41,208,1,24,2,5,21,True
43,212,4,26,2,5,22,True
42,167,2,25,4,4,11,True
39,191,1,19,2,5,20,True
25,122,1,18,1,5,25,False
60,219,1,16,5,4,12,True
55,234,3,24,3,4,18,True
33,180,2,16,2,5,17,True
32,138,1,13,3,4,11,True
25,120,1,35,2,5,13,False
36,128,4,36,3,4,12,False
49,211,1,36,2,4,25,False
54,210,4,42,3,4,18,False
29,127,3,39,1,4,29,False
41,166,2,30,3,4,14,False
52,214,1,36,2,4,26,False
36,166,1,35,2,5,18,False
42,173,1,33,1,4,42,False
47,193,2,36,2,4,24,False
25,126,1,37,2,5,13,False
51,206,5,40,2,4,26,False
47,185,1,34,4,4,12,False
48,234,1,34,4,5,12,False
51,168,1,34,3,3,17,False
41,181,1,37,2,4,21,False
35,133,1,36,3,4,12,False
22,89,1,10,3,4,7,False
34,203,3,44,2,6,17,False
19,84,0,2,1,4,19,False
38,175,0,6,2,5,19,False
51,231,1,24,2,5,26,True
41,226,2,21,2,6,21,True
34,128,2,14,3,4,11,True
45,218,6,28,2,5,23,True
21,80,1,19,2,4,11,True
36,161,1,20,2,4,18,True
36,134,1,18,3,4,12,True
41,172,5,29,3,4,14,True
39,197,3,22,2,5,20,True
31,140,1,15,2,5,16,True
43,220,2,16,3,5,14,True
54,266,2,24,1,5,54,True
50,193,1,27,2,4,25,True
47,184,5,27,2,4,24,True
36,180,3,24,2,5,18,True
43,215,1,20,2,5,22,True
50,224,1,21,3,4,17,True
31,127,0,3,2,4,16,False
32,136,4,21,1,4,32,False
0,0,0,0,0,0,0,False
44,201,1,26,2,5,22,False
28,140,1,6,2,5,14,False
25,120,0,6,2,5,13,False
0,0,0,0,0,0,0,False
33,153,1,27,1,5,33,False
6,24,0,1,1,4,6,False
47,173,1,6,4,4,12,False
60,231,0,8,4,4,15,False
15,48,0,4,2,3,8,False
53,264,0,5,2,5,27,False
46,194,0,2,2,4,23,False
38,163,0,5,1,4,38,False
40,180,0,10,2,5,20,False
16,70,0,2,2,4,8,False
31,111,0,5,3,4,10,False
44,229,3,22,2,5,22,True
40,191,1,19,2,5,20,True
57,317,4,28,2,6,29,True
51,226,1,31,2,4,26,True
16,77,1,17,1,5,16,True
18,85,1,18,1,5,18,True
18,80,1,21,1,4,18,True
16,86,1,17,1,5,16,True
50,264,1,26,1,5,50,True
11,68,1,17,1,6,11,True
43,203,1,21,1,5,43,True
17,105,1,18,1,6,17,True
22,112,2,24,1,5,22,True
43,166,2,11,4,4,11,True
30,113,1,9,2,4,15,True
18,101,1,8,2,6,9,True
38,171,1,14,2,5,19,True
26,112,1,10,2,4,13,True
33,151,2,13,2,5,17,True
27,139,2,9,2,5,14,True
32,140,2,10,2,4,16,True
24,78,1,11,2,3,12,True
49,242,1,16,2,5,25,True
41,155,2,21,2,4,21,True
59,249,1,20,4,4,15,True
42,194,2,19,2,5,21,True
16,64,0,5,2,4,8,True
29,142,1,10,2,5,15,True
22,100,3,15,2,5,11,True
25,96,1,8,2,4,13,True
24,94,1,8,2,4,12,True
20,81,1,9,1,4,20,True
19,68,1,8,2,4,10,True
25,122,1,13,2,5,13,True
23,109,2,15,2,5,12,True
20,90,2,10,2,5,10,True
35,154,1,12,2,4,18,True
22,119,0,10,2,5,11,True
29,106,1,8,2,4,15,True
24,117,0,12,1,5,24,True
30,117,2,8,2,4,15,True
48,208,2,18,4,4,12,True
26,108,1,9,2,4,13,True
25,107,2,12,2,4,13,True
21,66,2,10,2,3,11,True
25,127,0,11,3,5,8,True
