nouns,pronouns,verbs,numbers,adjectives,conjunctions,adverbs,class
3,17,7,1,4,0,5,True
7,5,7,0,1,0,1,True
7,12,4,1,1,0,3,True
5,11,3,0,5,0,0,True
14,30,7,0,2,0,4,True
7,14,4,1,1,0,1,True
12,47,3,1,1,0,1,True
7,12,6,2,2,0,2,True
8,14,2,0,3,0,2,True
5,11,7,1,2,0,1,True
10,9,3,0,1,0,0,True
5,9,2,0,3,0,0,True
5,17,6,0,2,0,0,True
3,20,5,1,0,0,3,True
9,12,6,1,2,0,1,True
5,15,6,3,4,0,2,True
9,39,5,0,2,0,1,True
7,15,7,1,4,0,4,True
6,39,2,0,1,0,1,True
4,12,4,0,0,0,0,True
6,6,5,0,0,0,2,True
7,17,8,1,1,0,1,True
6,14,5,3,0,0,2,True
2,10,2,0,0,0,0,True
5,5,3,0,2,0,2,True
9,10,4,0,1,0,0,True
5,16,2,1,3,0,0,True
5,5,4,0,2,0,1,True
9,8,2,0,2,0,0,True
8,8,3,0,4,0,2,True
12,32,5,0,1,0,1,True
6,22,3,0,1,0,1,True
10,8,7,4,4,0,1,True
8,14,3,4,1,0,0,True
7,6,5,0,2,0,3,True
3,23,4,0,4,0,0,True
6,13,6,0,1,0,1,True
11,12,5,0,2,0,1,True
11,10,6,0,1,0,0,True
8,47,1,0,2,0,1,True
11,18,6,1,5,0,1,True
7,21,6,0,1,0,0,True
8,51,4,0,1,0,1,True
10,9,4,1,7,0,1,True
1,6,3,0,0,0,2,True
8,14,5,0,1,0,2,True
8,17,5,0,1,0,2,True
6,15,4,0,6,0,1,True
8,8,4,0,4,0,0,True
2,12,2,1,3,0,0,True
6,14,5,0,1,0,3,True
9,11,6,1,4,0,1,True
3,4,3,0,1,0,1,True
5,34,5,3,2,0,2,True
7,40,5,0,1,0,1,True
10,10,7,0,2,0,0,True
8,8,3,0,4,0,0,True
1,0,1,0,2,0,1,False
10,2,6,0,4,0,2,False
5,12,4,1,2,0,0,True
4,6,3,0,4,0,0,True
4,22,4,0,1,0,2,True
12,14,6,2,6,0,0,True
7,9,5,0,5,0,0,False
5,3,3,1,2,0,2,False
7,2,4,0,2,0,2,False
7,4,5,1,1,0,1,False
3,2,6,0,2,0,1,False
10,2,4,0,4,0,3,False
4,3,3,0,0,0,3,False
10,2,4,0,3,0,2,False
4,1,4,0,3,0,2,False
8,8,6,0,4,0,1,False
9,4,7,2,3,0,2,False
6,3,6,1,1,0,3,False
7,3,4,2,1,0,2,False
7,4,8,0,7,0,3,False
5,1,2,0,1,0,1,False
12,4,7,3,4,0,2,False
6,4,2,0,1,0,0,False
11,4,5,3,2,0,2,False
8,2,5,2,2,0,1,False
1,3,1,0,1,0,0,False
7,9,4,2,1,0,3,True
8,11,3,2,2,0,1,True
6,9,2,4,1,0,1,True
7,11,5,0,5,0,0,True
3,7,4,0,2,0,1,True
5,14,4,0,2,0,0,True
10,9,5,2,1,0,1,True
7,7,2,0,1,0,0,True
2,13,8,0,1,0,0,True
0,0,1,0,0,0,0,False
8,8,6,4,1,0,0,True
5,6,2,0,1,0,0,True
9,12,5,0,2,0,0,True
10,18,6,1,4,0,1,True
14,2,12,4,4,0,2,False
0,5,6,0,1,0,1,False
3,2,3,0,0,0,0,False
11,13,4,0,2,0,0,True
11,11,3,0,2,0,0,True
3,5,4,0,2,0,4,True
7,16,2,0,1,0,1,True
6,1,2,0,2,0,4,False
4,6,2,0,3,0,4,False
4,6,2,0,3,0,4,False
3,3,2,0,1,0,0,False
10,3,4,0,0,0,0,False
6,1,2,0,2,0,0,False
4,5,6,0,2,0,6,False
4,3,5,0,6,0,2,False
3,1,2,0,0,0,0,False
