@relation sentiment_vector

@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute class {True,False}

@data
0.195,0.805,0,-0.5574,False
0.206,0.794,0,-0.5267,False
0,0.726,0.274,0.7506,False
0,0,0,0,False
0.279,0.515,0.206,-0.5267,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.752,0.248,0.6808,False
0.117,0.56,0.323,0.8271,False
0,0.891,0.109,0.4019,False
0.222,0.778,0,-0.7184,False
0,1,0,0,False
0.228,0.772,0,-0.6808,False
0.139,0.861,0,-0.4939,False
0,0,0,0,False
0,1,0,0,False
0,1,0,0,False
0.341,0.549,0.11,-0.8402,False
0,1,0,0,False
0.181,0.819,0,-0.717,False
0.194,0.685,0.121,-0.4215,False
0.171,0.829,0,-0.7783,False
0,1,0,0,False
0,1,0,0,False
0.116,0.884,0,-0.5574,False
0,0.777,0.223,0.765,False
0,0,0,0,False
0,1,0,0,False
0.246,0.754,0,-0.7351,False
0,0.789,0.211,0.7297,False
0.271,0.562,0.167,-0.6597,False
0.427,0.573,0,-0.9766,False
0,0,0,0,False
0,0.693,0.307,0.8555,False
0,1,0,0,False
0,0.849,0.151,0.1531,False
0,1,0,0,False
0.198,0.802,0,-0.6369,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.729,0.271,0.8316,False
0.364,0.636,0,-0.765,False
0.206,0.794,0,-0.5267,False
0,1,0,0,False
0,1,0,0,False
0,0,0,0,False
0,1,0,0,False
0.224,0.607,0.168,-0.296,False
0,0,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.376,0.624,0.9705,False
0.405,0.595,0,-0.7783,False
0.15,0.85,0,-0.5267,False
0.183,0.49,0.326,0.5245,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.81,0.19,0.6597,False
0,0.806,0.194,0.3818,False
0,0.858,0.142,0.4215,False
0,0.867,0.133,0.1531,False
0.135,0.865,0,-0.4939,False
0.172,0.828,0,-0.3595,False
0,1,0,0,False
0,0.526,0.474,0.4019,False
0.2,0.5,0.3,0.34,False
0.106,0.758,0.136,0.7169,False
0,0.814,0.186,0.5859,False
0.115,0.78,0.105,0.128,False
0,1,0,0,False
0.221,0.779,0,-0.6597,False
0.375,0.516,0.109,-0.8957,False
0.109,0.771,0.12,0.1027,False
0,0.785,0.215,0.6369,False
0.166,0.614,0.22,0.2244,False
0,0.865,0.135,0.3818,False
0,1,0,0,False
0,0.545,0.455,0.6124,False
0.103,0.897,0,-0.1027,False
0,1,0,0,False
0,0.807,0.193,0.8126,False
0.205,0.628,0.167,0.1027,False
0.193,0.653,0.153,-0.34,False
0.498,0.502,0,-0.9571,False
0.402,0.598,0,-0.9412,False
0.145,0.726,0.129,-0.2023,False
0.16,0.645,0.195,-0.0516,False
0.174,0.718,0.108,-0.3164,False
0,0.633,0.367,0.875,False
0,1,0,0,False
0.315,0.685,0,-0.9081,False
0.215,0.671,0.114,-0.6124,False
0.301,0.332,0.367,0.25,False
0,1,0,0,False
0,1,0,0,False
0,0.618,0.382,0.9349,False
0,0.782,0.218,0.4199,False
0,0.822,0.178,0.6597,False
0,1,0,0,False
0.173,0.827,0,-0.5859,False
0,0.853,0.147,0.6124,False
0,1,0,0,False
0.271,0.432,0.296,-0.1989,False
0,1,0,0,False
0,1,0,0,False
0.359,0.557,0.084,-0.836,False
0,0.691,0.309,0.7003,False
0.277,0.723,0,-0.8225,False
0,1,0,0,False
0.166,0.69,0.144,-0.1007,False
0.154,0.504,0.342,0.7458,False
0,1,0,0,False
0,1,0,0,False
0,0.678,0.322,0.9393,False
0,1,0,0,False
0,1,0,0,False
0,0.728,0.272,0.6808,False
0,1,0,0,False
0,1,0,0,False
0.113,0.734,0.153,0.58,False
0.183,0.817,0,-0.8126,False
0.122,0.878,0,-0.296,False
0.167,0.833,0,-0.34,False
0,0.838,0.162,0.7644,False
0,1,0,0,False
0,0.84,0.16,0.2263,False
0.298,0.393,0.309,0.1027,False
0.263,0.429,0.308,-0.0516,False
0,1,0,0,False
0.083,0.917,0,-0.5859,False
0.227,0.773,0,-0.6124,False
0.431,0.569,0,-0.9776,False
0.244,0.62,0.136,-0.6597,False
0,0.865,0.135,0.3818,False
0,0.632,0.368,0.8217,False
0,1,0,0,False
0,0.626,0.374,0.5562,False
0.086,0.833,0.08,-0.0516,False
0,0.411,0.589,0.9172,False
0.215,0.785,0,-0.6369,False
0.308,0.692,0,-0.9485,False
0,1,0,0,False
0.232,0.571,0.197,-0.4215,False
0,0.782,0.218,0.4199,False
0.107,0.707,0.185,0.6369,False
0.129,0.558,0.312,0.8481,False
0,0.76,0.24,0.8316,False
0,0.772,0.228,0.6808,False
0.183,0.522,0.295,0.3786,False
0.22,0.78,0,-0.875,False
0,1,0,0,False
0.19,0.746,0.063,-0.7184,False
0,1,0,0,False
0,0.859,0.141,0.6597,False
0,0.831,0.169,0.7184,False
0.097,0.798,0.105,0.1027,False
0.051,0.766,0.182,0.6229,False
0,0.714,0.286,0.6369,False
0.245,0.755,0,-0.3802,False
0.286,0.714,0,-0.8402,False
0.114,0.886,0,-0.6124,False
0,1,0,0,False
0,1,0,0,False
0.457,0.543,0,-0.4939,False
0,1,0,0,False
0.065,0.795,0.139,0.4537,False
0.111,0.736,0.152,-0.0752,False
0,0.912,0.088,0.1531,False
0.174,0.826,0,-0.4588,False
0.297,0.598,0.105,-0.8402,False
0.25,0.75,0,-0.7906,False
0,1,0,0,False
0,1,0,0,False
0.184,0.665,0.152,-0.25,False
0.267,0.733,0,-0.7351,False
0,0.837,0.163,0.6418,False
0.261,0.592,0.147,-0.5859,False
0,1,0,0,False
0,1,0,0,False
0.167,0.833,0,-0.765,False
0,0.735,0.265,0.6597,False
0,1,0,0,False
0.152,0.52,0.328,0.5267,False
0,1,0,0,False
0.097,0.567,0.336,0.886,False
0.205,0.795,0,-0.6588,False
0.128,0.759,0.113,-0.2023,False
0,0.822,0.178,0.6597,False
0.138,0.862,0,-0.6808,False
0,1,0,0,False
0.109,0.567,0.323,0.5635,False
0,0.833,0.167,0.6124,False
0.116,0.884,0,-0.2732,False
0,0.865,0.135,0.784,False
0.074,0.702,0.224,0.6476,False
0.067,0.674,0.258,0.5255,False
0,0.81,0.19,0.7906,False
0,0.772,0.228,0.9078,False
0.121,0.879,0,-0.7351,False
0,0.812,0.188,0.7378,False
0.347,0.582,0.072,-0.7992,False
0.35,0.65,0,-0.9678,False
0.211,0.695,0.094,-0.5707,False
0.08,0.717,0.203,0.7003,False
0,0.764,0.236,0.7783,False
0,1,0,0,False
0.196,0.804,0,-0.7458,False
0.115,0.742,0.143,0.1779,False
0,0.602,0.398,0.8374,False
0.137,0.667,0.196,0.3818,False
0.154,0.753,0.093,-0.5719,False
0.061,0.939,0,-0.5267,False
0,1,0,0,False
0,1,0,0,False
0.177,0.719,0.104,-0.7452,False
0.138,0.768,0.094,-0.4531,False
0,0.795,0.205,0.891,False
0.117,0.883,0,-0.6956,False
0.178,0.822,0,-0.5823,False
0.032,0.764,0.204,0.8932,False
0,0.693,0.307,0.8126,False
0,0.909,0.091,0.3612,False
0.059,0.941,0,-0.296,False
0.062,0.769,0.169,0.5423,False
0.081,0.808,0.111,0,False
0.209,0.723,0.068,-0.802,False
0.142,0.8,0.058,-0.6369,False
0,0.791,0.209,0.765,False
0.094,0.857,0.049,-0.2831,False
0.03,0.73,0.24,0.9154,False
0,0.863,0.137,0.5411,False
0,0.897,0.103,0.4939,False
0.089,0.674,0.237,0.7003,False
0.208,0.586,0.206,-0.0183,False
0,0.892,0.108,0.4199,False
0,0.737,0.263,0.6124,False
0.18,0.703,0.117,-0.3519,False
0.137,0.612,0.251,0.7935,False
0.073,0.749,0.178,0.5994,False
0.072,0.498,0.43,0.9517,False
0.199,0.801,0,-0.7351,False
0.088,0.716,0.196,0.5324,False
0,1,0,0,False
0.047,0.854,0.099,0.4389,False
0.122,0.878,0,-0.5574,False
0,1,0,0,False
0.112,0.588,0.3,0.937,False
0,0.87,0.13,0.5859,False
0.239,0.668,0.093,-0.802,False
0.122,0.688,0.19,0.3167,False
0,0.743,0.257,0.6696,False
0.382,0.618,0,-0.9186,False
0.148,0.8,0.052,-0.7469,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.875,0.125,0.5514,False
0.161,0.839,0,-0.7717,False
0,0.831,0.169,0.6249,False
0.273,0.596,0.131,-0.6597,False
0,1,0,0,False
0.153,0.674,0.172,0.2023,False
0,0.577,0.423,0.765,False
0.111,0.791,0.098,-0.1531,False
0,0.391,0.609,0.9447,False
0.25,0.612,0.138,-0.4939,False
0,1,0,0,False
0.1,0.9,0,-0.4588,False
0,1,0,0,False
0,0.795,0.205,0.6597,False
0,0.674,0.326,0.9186,False
0,0.8,0.2,0.7184,False
0.227,0.592,0.181,-0.5719,False
0.118,0.738,0.143,0.296,False
0,1,0,0,False
0.257,0.631,0.112,-0.7351,False
0,0.828,0.172,0.752,False
0,1,0,0,False
0,1,0,0,False
0.165,0.755,0.079,-0.5267,False
0.462,0.538,0,-0.7184,False
0,0.838,0.162,0.7506,False
0,1,0,0,False
0.061,0.785,0.155,0.6513,False
0.08,0.733,0.187,0.4929,False
0,0.844,0.156,0.8225,False
0.241,0.759,0,-0.6597,False
0.097,0.79,0.114,0.1007,False
0,1,0,0,False
0.188,0.812,0,-0.7003,False
0.3,0.7,0,-0.7906,False
0,1,0,0,False
0.229,0.771,0,-0.891,False
0.046,0.74,0.214,0.8356,False
0.15,0.797,0.053,-0.6261,False
0.186,0.74,0.074,-0.5267,False
0.242,0.637,0.121,-0.7717,False
0,0.811,0.189,0.8689,False
0,0.74,0.26,0.7149,False
0.199,0.801,0,-0.2481,False
0.159,0.493,0.348,0.7196,False
0,0.777,0.223,0.8625,False
0.087,0.913,0,-0.2263,False
0.135,0.727,0.138,0.0258,False
0.187,0.643,0.17,-0.1548,False
0.073,0.859,0.068,-0.0498,False
0,1,0,0,False
0.273,0.576,0.152,-0.6124,False
0.138,0.806,0.056,-0.7437,False
0.122,0.711,0.167,0.5236,False
0.164,0.72,0.116,-0.34,False
0.121,0.696,0.183,0.1779,False
0,0.917,0.083,0.4215,False
0,1,0,0,False
0,0.938,0.062,0.1531,False
0.072,0.899,0.029,-0.4404,False
0,1,0,0,False
0.082,0.855,0.062,-0.2577,False
0,1,0,0,False
0,1,0,0,False
0,0.634,0.366,0.8737,False
0,1,0,0,False
0.131,0.733,0.136,0.0516,False
0,0.797,0.203,0.8555,False
0,0.904,0.096,0.5719,False
0.238,0.762,0,-0.7783,False
0,0.788,0.212,0.6249,False
0.061,0.705,0.234,0.875,False
0,0.872,0.128,0.6605,False
0,1,0,0,False
0.164,0.72,0.116,-0.34,False
0.068,0.85,0.082,0.1531,False
0.174,0.761,0.065,-0.5994,False
0,0.784,0.216,0.7717,False
0.255,0.693,0.053,-0.8074,False
0.076,0.826,0.098,0.1779,False
0.131,0.799,0.07,-0.5574,False
0.228,0.642,0.13,-0.7659,False
0.1,0.867,0.033,-0.4931,False
0,0.939,0.061,0.296,False
0.062,0.867,0.071,0.128,False
0.144,0.811,0.045,-0.7579,False
0.06,0.818,0.122,0.5093,False
0,1,0,0,False
0.069,0.836,0.095,0.228,False
0,1,0,0,False
0.17,0.83,0,-0.802,False
0,0.62,0.38,0.788,False
0.114,0.789,0.096,-0.1027,False
0.115,0.828,0.057,-0.2023,False
0,0.891,0.109,0.4215,False
0,1,0,0,False
0.147,0.528,0.326,0.8316,False
0.067,0.669,0.264,0.7096,False
0,1,0,0,False
0,0.769,0.231,0.5574,False
0.231,0.579,0.19,-0.2006,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.783,0.217,0.5574,False
0,0.875,0.125,0.25,False
0,1,0,0,False
0,0.901,0.099,0.4939,False
0.332,0.502,0.166,-0.6488,False
0,0.8,0.2,0.7579,False
0,0.764,0.236,0.7579,False
0.174,0.633,0.194,-0.1263,False
0,0.837,0.163,0.5915,False
0,0.812,0.188,0.5267,False
0,0.893,0.107,0.2023,False
0,1,0,0,False
0.162,0.604,0.234,0.4657,False
0,0.638,0.362,0.8979,False
0.163,0.837,0,-0.5661,False
0.141,0.524,0.335,0.5719,False
0.264,0.736,0,-0.6249,False
0.093,0.675,0.232,0.5106,False
0.565,0.435,0,-0.8934,False
0.257,0.594,0.149,-0.296,False
0.134,0.866,0,-0.4767,False
0.078,0.777,0.145,0.2716,False
0,1,0,0,False
0,0.637,0.363,0.8126,False
0.139,0.861,0,-0.4404,False
0,0.857,0.143,0.3612,False
0.105,0.758,0.137,0.2263,False
0.287,0.479,0.234,0,False
0.079,0.758,0.163,0.4588,False
0.19,0.73,0.079,-0.5413,False
0,0.716,0.284,0.8196,False
0.121,0.44,0.44,0.8271,False
0.292,0.599,0.109,-0.5984,False
0,0.854,0.146,0.3384,False
0,0.852,0.148,0.3818,False
0,0.811,0.189,0.5423,False
0.106,0.708,0.186,0.4215,False
0.236,0.641,0.124,-0.7239,False
0.14,0.779,0.081,-0.4215,False
0,0.772,0.228,0.7579,False
0.22,0.694,0.086,-0.5103,False
0.105,0.895,0,-0.25,False
0.25,0.547,0.203,-0.296,False
0.192,0.625,0.183,-0.0534,False
0.266,0.565,0.169,-0.34,False
0,0.873,0.127,0.4927,False
0,1,0,0,False
0,1,0,0,False
0,1,0,0,False
0,0.834,0.166,0.4927,False
0,0.753,0.247,0.3167,False
0,1,0,0,False
0.1,0.717,0.183,0.5106,False
0,1,0,0,False
0.146,0.757,0.097,-0.2263,False
0,1,0,0,False
0,0.531,0.469,0.7346,False
0.071,0.682,0.246,0.5248,False
0.059,0.749,0.191,0.7264,False
0,0.756,0.244,0.4404,False
0.203,0.64,0.157,-0.2023,False
0,0.914,0.086,0.1511,False
0.151,0.622,0.228,0.4771,False
0.138,0.663,0.199,0.0258,False
0,0.592,0.408,0.7346,False
0,0.89,0.11,0.2732,False
0.067,0.755,0.177,0.6588,False
0.121,0.78,0.098,0.0836,False
0.188,0.677,0.135,-0.0683,False
0,0.912,0.088,0.4404,False
0,1,0,0,False
0,1,0,0,False
0.063,0.693,0.245,0.8555,False
0,1,0,0,False
0,0.61,0.39,0.7494,False
0,1,0,0,False
0,1,0,0,False
0.068,0.844,0.088,0.1531,False
0.102,0.621,0.277,0.6249,False
0,0.716,0.284,0.5819,False
0,0.772,0.228,0.4824,False
0.131,0.71,0.158,0.128,False
0,0.821,0.179,0.507,False
0,0.787,0.213,0.7146,False
0,0.597,0.403,0.6597,False
0.133,0.68,0.186,0.5054,False
0.097,0.839,0.064,-0.1916,False
0,0.587,0.413,0.8139,False
0.202,0.798,0,-0.6486,False
0.071,0.624,0.305,0.8059,False
0,0.86,0.14,0.0772,True
0.429,0.571,0,-0.4588,True
0,1,0,0,True
0,1,0,0,True
0,0.888,0.112,0.2244,True
0,1,0,0,True
0.398,0.602,0,-0.765,True
0.122,0.878,0,-0.2023,True
0.193,0.807,0,-0.4767,True
0,1,0,0,True
0.151,0.719,0.13,0.1027,True
0,1,0,0,True
0,0.554,0.446,0.7027,True
0,0.531,0.469,0.8384,True
0,0.766,0.234,0.7269,True
0.114,0.659,0.228,0.4404,True
0,0.565,0.435,0.8957,True
0.135,0.615,0.25,0.4215,True
0.23,0.671,0.099,-0.4767,True
0,1,0,0,True
0.149,0.725,0.126,-0.126,True
0,1,0,0,True
0,0.456,0.544,0.854,True
0,0.843,0.157,0.5994,True
0.131,0.794,0.075,-0.34,True
0.294,0.588,0.118,-0.5707,True
0.32,0.68,0,-0.7644,True
0.198,0.802,0,-0.4019,True
0,0.678,0.322,0.5859,True
0,1,0,0,True
0.375,0.625,0,-0.8016,True
0.104,0.75,0.146,0.2481,True
0.119,0.881,0,-0.3182,True
0.128,0.639,0.233,0.6476,True
0,0.769,0.231,0.4588,True
0,0.4,0.6,0.6696,True
0.393,0.536,0.07,-0.8331,True
0.146,0.657,0.197,0.2732,True
0.195,0.469,0.336,0.6725,True
0.155,0.735,0.11,-0.0258,True
0.303,0.697,0,-0.7269,True
0.222,0.778,0,-0.4824,True
0,1,0,0,True
0,1,0,0,True
0.225,0.775,0,-0.6408,True
0,0.829,0.171,0.5719,True
0,1,0,0,True
0.623,0.377,0,-0.9723,True
0,0.753,0.247,0.802,True
0,0.619,0.381,0.9022,True
0,0.667,0.333,0.8176,True
0,0.527,0.473,0.9456,True
0.314,0.508,0.178,-0.4939,True
0,0.69,0.31,0.8016,True
0,0.741,0.259,0.743,True
0.226,0.774,0,-0.4745,True
0.123,0.698,0.179,0.2558,True
0.507,0.205,0.288,-0.4939,True
0.326,0.519,0.156,-0.5574,True
0.307,0.624,0.069,-0.7559,True
0.062,0.468,0.47,0.8876,True
0.076,0.649,0.276,0.5722,True
0,0.635,0.365,0.8775,True
0,0.464,0.536,0.9109,True
0,1,0,0,True
0.55,0.381,0.069,-0.9313,True
0,1,0,0,True
0.208,0.466,0.326,0.4215,True
0.071,0.929,0,-0.1531,True
0,1,0,0,True
0.316,0.466,0.218,-0.2263,True
0,0.744,0.256,0.6705,True
0.153,0.64,0.207,0.2732,True
0.239,0.662,0.099,-0.5859,True
0.083,0.604,0.313,0.7959,True
0.493,0.507,0,-0.7783,True
0.28,0.72,0,-0.8212,True
0,0.686,0.314,0.8313,True
0.274,0.354,0.372,0.2732,True
0,0.81,0.19,0.2755,True
0.319,0.681,0,-0.836,True
0.082,0.918,0,-0.0191,True
0.237,0.763,0,-0.5766,True
0.172,0.711,0.117,-0.2714,True
0.312,0.688,0,-0.7094,True
0.166,0.738,0.096,-0.2263,True
0.122,0.577,0.301,0.886,True
0.26,0.426,0.314,0.34,True
0.3,0.493,0.207,-0.2263,True
0.293,0.524,0.183,-0.3612,True
0.283,0.678,0.038,-0.8519,True
0.4,0.6,0,-0.8402,True
0.507,0.205,0.288,-0.4939,True
0,0.539,0.461,0.9468,True
0.306,0.694,0,-0.8114,True
0.138,0.597,0.265,0.5255,True
0,0.799,0.201,0.6157,True
0.219,0.705,0.076,-0.7042,True
0.283,0.717,0,-0.743,True
0.229,0.603,0.168,-0.1567,True
0,0.593,0.407,0.9145,True
0.401,0.401,0.198,-0.7964,True
0.214,0.786,0,-0.4588,True
0,0.8,0.2,0.7184,True
0,0.682,0.318,0.8555,True
0.169,0.601,0.23,0.2732,True
0.151,0.849,0,-0.6249,True
0.067,0.712,0.221,0.6229,True
0.316,0.466,0.218,-0.2263,True
0.138,0.732,0.131,-0.0431,True
0.207,0.793,0,-0.5255,True
0.087,0.617,0.295,0.694,True
0.279,0.612,0.109,-0.5983,True
0,1,0,0,True
0.268,0.444,0.288,0.1677,True
0.179,0.821,0,-0.5423,True
0,0.728,0.272,0.6696,True
0.375,0.625,0,-0.8316,True
0,0.841,0.159,0.5562,True
0,0.795,0.205,0.2023,True
0.383,0.358,0.26,-0.5331,True
0.147,0.853,0,-0.4753,True
0.068,0.591,0.341,0.8936,True
0.354,0.557,0.089,-0.6968,True
0.237,0.763,0,-0.7088,True
0,1,0,0,True
0,0.656,0.344,0.636,True
0.508,0.492,0,-0.4767,True
0.374,0.626,0,-0.5562,True
0.107,0.698,0.195,0.4404,True
0.189,0.811,0,-0.3744,True
0.603,0.397,0,-0.8442,True
0.231,0.769,0,-0.34,True
0,0.686,0.314,0.7506,True
0.209,0.65,0.141,-0.2263,True
0,1,0,0,True
0,0.8,0.2,0.6705,True
0.144,0.739,0.116,-0.1911,True
0.073,0.685,0.242,0.5707,True
0.076,0.924,0,-0.1027,True
0,0.657,0.343,0.8553,True
0.448,0.35,0.202,-0.8316,True
0.479,0.521,0,-0.9406,True
0,0.678,0.322,0.8221,True
0.147,0.853,0,-0.4767,True
0.122,0.565,0.313,0.5267,True
0.137,0.711,0.152,0.0772,True
0.163,0.837,0,-0.5106,True
0.172,0.584,0.244,0.4939,True
0,0.666,0.334,0.8599,True
0.147,0.595,0.258,0.5859,True
0.071,0.929,0,-0.1759,True
0,0.811,0.189,0.2714,True
0,0.625,0.375,0.8313,True
0,0.815,0.185,0.5147,True
0,0.681,0.319,0.8176,True
0,1,0,0,True
0.21,0.71,0.081,-0.6124,True
0,1,0,0,True
0,0.913,0.087,0.2714,True
0.078,0.812,0.111,0.224,True
0.133,0.867,0,-0.6124,True
0,0.853,0.147,0.4767,True
0.294,0.583,0.122,-0.7096,True
0,0.65,0.35,0.8655,True
0,0.642,0.358,0.7712,True
0.164,0.712,0.125,-0.1683,True
0.34,0.66,0,-0.7351,True
0.259,0.537,0.205,-0.0258,True
0.127,0.873,0,-0.2244,True
0.413,0.452,0.135,-0.8225,True
0,0.849,0.151,0.5255,True
0,0.66,0.34,0.8689,True
0.395,0.474,0.13,-0.7717,True
0,0.691,0.309,0.8553,True
0,0.773,0.227,0.6124,True
0.375,0.625,0,-0.7351,True
0,0.807,0.193,0.4767,True
0,0.632,0.368,0.7906,True
0,0.817,0.183,0.5562,True
0.045,0.568,0.386,0.875,True
0.111,0.681,0.208,0.4019,True
0.392,0.365,0.243,-0.5984,True
0,1,0,0,True
0.273,0.727,0,-0.7184,True
0.369,0.429,0.202,-0.7096,True
0.421,0.468,0.112,-0.8622,True
0,0.733,0.267,0.7351,True
0,0.669,0.331,0.8977,True
0.329,0.538,0.133,-0.7351,True
0.224,0.689,0.087,-0.4559,True
0.393,0.607,0,-0.8658,True
0.301,0.699,0,-0.8225,True
0,0.626,0.374,0.3382,True
0,1,0,0,True
0.388,0.612,0,-0.4215,True
0,0.715,0.285,0.4199,True
0,0.524,0.476,0.8955,True
0,1,0,0,True
0.307,0.693,0,-0.7345,True
0.26,0.669,0.072,-0.7235,True
0.268,0.606,0.126,-0.5093,True
0,0.707,0.293,0.807,True
0,1,0,0,True
0.451,0.549,0,-0.802,True
0,0.79,0.21,0.7269,True
0,1,0,0,True
0,0.607,0.393,0.5983,True
0,0.775,0.225,0.4926,True
0,0.89,0.11,0.3034,True
0.37,0.63,0,-0.8494,True
0.104,0.666,0.23,0.4648,True
0,1,0,0,True
0.238,0.596,0.166,-0.2298,True
0,0.851,0.149,0.4199,True
0,1,0,0,True
0,1,0,0,True
0,0.825,0.175,0.5574,True
0,1,0,0,True
0.278,0.722,0,-0.6124,True
0.186,0.599,0.215,0.126,True
0,0.65,0.35,0.8192,True
0,0.581,0.419,0.9517,True
0.148,0.852,0,-0.3182,True
0,0.87,0.13,0.5984,True
0.349,0.451,0.2,-0.7171,True
0.061,0.939,0,-0.0258,True
0,0.541,0.459,0.6249,True
0.429,0.452,0.119,-0.883,True
0,0.803,0.197,0.7052,True
0,1,0,0,True
0.126,0.681,0.194,0.3182,True
0,0.61,0.39,0.4926,True
0,0.868,0.132,0.4404,True
0.193,0.727,0.08,-0.4767,True
0,0.861,0.139,0.5487,True
0.49,0.51,0,-0.91,True
0.467,0.369,0.164,-0.8024,True
0,0.729,0.271,0.3034,True
0,0.882,0.118,0.516,True
0.189,0.56,0.25,0.2698,True
0.133,0.708,0.158,0.1531,True
0.524,0.366,0.11,-0.9413,True
0,0.551,0.449,0.8912,True
0.144,0.703,0.153,0.0686,True
0.308,0.523,0.169,-0.6724,True
0,0.599,0.401,0.8658,True
0.403,0.597,0,-0.4019,True
0.442,0.442,0.116,-0.9153,True
0,0.694,0.306,0.8374,True
0.236,0.764,0,-0.5859,True
0.27,0.618,0.112,-0.6249,True
0,1,0,0,True
0,0.681,0.319,0.8172,True
0.131,0.697,0.173,0.2698,True
0.153,0.657,0.191,0.2991,True
0.137,0.576,0.288,0.6361,True
0,1,0,0,True
0.384,0.363,0.253,-0.3848,True
0.485,0.418,0.098,-0.9491,True
0.29,0.578,0.132,-0.6933,True
0.245,0.581,0.174,-0.1779,True
0.323,0.553,0.124,-0.7363,True
0.303,0.552,0.145,-0.5574,True
0.276,0.648,0.076,-0.7378,True
0,0.821,0.179,0.5411,True
0.438,0.562,0,-0.7906,True
0,0.4,0.6,0.9751,True
0.615,0.385,0,-0.9371,True
0,0.6,0.4,0.9432,True
0.359,0.437,0.204,-0.4939,True
0.505,0.495,0,-0.9042,True
0,0.61,0.39,0.4926,True
0.39,0.452,0.158,-0.6249,True
0.105,0.895,0,-0.25,True
0,0.561,0.439,0.9468,True
0,0.933,0.067,0.0772,True
0,1,0,0,True
0,0.651,0.349,0.8934,True
0,0.482,0.518,0.8192,True
0.353,0.647,0,-0.8516,True
0.253,0.653,0.094,-0.4926,True
0.178,0.467,0.355,0.4404,True
0,1,0,0,True
0.375,0.625,0,-0.3404,True
0.216,0.549,0.235,-0.2714,True
0.231,0.769,0,-0.6608,True
0.331,0.669,0,-0.872,True
0.178,0.467,0.355,0.4404,True
0,1,0,0,True
0,1,0,0,True
0,0.613,0.387,0.3664,True
0,1,0,0,True
0.103,0.897,0,-0.1531,True
0.382,0.618,0,-0.7783,True
0,1,0,0,True
0,1,0,0,True
0,1,0,0,True
0,0.488,0.512,0.636,True
0.073,0.731,0.196,0.4926,True
0.285,0.715,0,-0.636,True
0.185,0.704,0.111,-0.3872,True
0.262,0.558,0.18,-0.2263,True
0,0.884,0.116,0.2732,True
0.41,0.59,0,-0.9105,True
0.3,0.572,0.129,-0.5562,True
0,0.704,0.296,0.3664,True
0.216,0.612,0.171,-0.0258,True
0.42,0.58,0,-0.8567,True
0,0.788,0.212,0.6793,True
0,0.367,0.633,0.784,True
0.275,0.559,0.166,-0.4415,True
0,0.571,0.429,0.8594,True
0,0.712,0.288,0.7959,True
0.324,0.676,0,-0.7351,True
0.252,0.407,0.341,0.2732,True
0.528,0.472,0,-0.9249,True
0,0.719,0.281,0.8553,True
0.359,0.411,0.231,-0.2911,True
0,1,0,0,True
0.498,0.502,0,-0.8728,True
0.088,0.642,0.27,0.6588,True
0,0.834,0.166,0.6115,True
0.213,0.787,0,-0.5574,True
0,1,0,0,True
0.114,0.625,0.261,0.6124,True
0.283,0.433,0.283,0.25,True
0.166,0.834,0,-0.2944,True
0,1,0,0,True
0.249,0.668,0.083,-0.667,True
0,0.817,0.183,0.6696,True
0,0.761,0.239,0.784,True
0,0.724,0.276,0.6369,True
0.126,0.486,0.388,0.6588,True
0.108,0.681,0.211,0.4404,True
0,0.608,0.392,0.855,True
0,0.855,0.145,0.5974,True
0.481,0.324,0.194,-0.7351,True
0,1,0,0,True
0,0.909,0.091,0.2023,True
0.047,0.866,0.086,0.2481,True
0,1,0,0,True
0,0.582,0.418,0.8687,True
0,0.873,0.127,0.3875,True
0,0.602,0.398,0.9171,True
0,0.692,0.308,0.821,True
0.406,0.332,0.262,-0.2911,True
0.128,0.872,0,-0.358,True
0,0.907,0.093,0.1877,True
0.352,0.533,0.115,-0.7778,True
0.301,0.442,0.257,-0.128,True
0.28,0.72,0,-0.8126,True
0.333,0.437,0.23,-0.2263,True
0.291,0.709,0,-0.802,True
0.267,0.583,0.149,-0.4263,True
0,0.879,0.121,0.5093,True
0.4,0.474,0.126,-0.5356,True
0.252,0.407,0.341,0.2732,True
0.534,0.337,0.129,-0.9216,True
0.099,0.721,0.18,0.2023,True
0.155,0.645,0.2,-0.0772,True
0,0.702,0.298,0.8977,True
0,0.677,0.323,0.7345,True
0.098,0.722,0.18,0.1531,True
0,1,0,0,True
0.265,0.597,0.138,-0.3382,True
0.129,0.693,0.178,0.2481,True
0,0.82,0.18,0.3875,True
0.141,0.749,0.109,-0.1935,True
0,0.654,0.346,0.8398,True
0.148,0.741,0.111,-0.1531,True
0.36,0.64,0,-0.743,True
0.336,0.601,0.064,-0.8271,True
0,0.851,0.149,0.6369,True
0.353,0.377,0.27,-0.4767,True
0,0.681,0.319,0.8172,True
0.277,0.723,0,-0.5574,True
0,0.603,0.397,0.5574,True
