@relation sentiment_vector

@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute class {True,False}

@data
0.197,0.803,0,-0.4019,True
0,1,0,0,False
0,1,0,0,True
0,1,0,0,True
0.177,0.823,0,-0.4215,True
0,1,0,0,True
0,1,0,0,True
0.164,0.704,0.131,-0.1779,True
0.18,0.82,0,-0.296,True
0.107,0.78,0.112,0.0258,True
0.196,0.804,0,-0.296,True
0,0.861,0.139,0.2732,False
0,1,0,0,True
0.085,0.915,0,-0.1027,True
0.12,0.88,0,-0.128,True
0.189,0.811,0,-0.4215,True
0.163,0.752,0.085,-0.34,True
0.179,0.664,0.157,-0.0935,True
0.142,0.858,0,-0.6486,False
0.369,0.448,0.183,-0.7506,False
0,0.634,0.366,0.9227,False
0.215,0.725,0.06,-0.802,True
0,0.742,0.258,0.9524,True
0.083,0.814,0.103,0.3214,True
0,1,0,0,False
0.056,0.902,0.042,-0.1114,True
0.04,0.881,0.079,0.3489,False
0.09,0.701,0.208,0.6378,False
0.104,0.675,0.221,0.5859,False
0.097,0.765,0.138,0.1548,False
0,0.797,0.203,0.8934,True
0,1,0,0,False
0.175,0.825,0,-0.5574,False
0.174,0.732,0.094,-0.5067,False
0.3,0.484,0.216,-0.3818,False
0.289,0.711,0,-0.9081,False
0,0.915,0.085,0.3612,False
0.224,0.776,0,-0.7474,False
0.209,0.722,0.07,-0.6369,False
0,0.633,0.367,0.4404,False
0.154,0.71,0.136,-0.2263,False
0,1,0,0,False
0.145,0.855,0,-0.4389,False
0.084,0.83,0.086,-0.2023,True
0,0.775,0.225,0.4404,False
0,0.926,0.074,0.4019,True
0.194,0.806,0,-0.7579,False
0.089,0.754,0.157,0.2732,False
0.057,0.807,0.135,0.4585,False
0.093,0.732,0.175,0.573,False
0.201,0.799,0,-0.8519,False
0,1,0,0,False
0,1,0,0,False
0.178,0.732,0.089,-0.4215,False
0.084,0.916,0,-0.3182,False
0,0.944,0.056,0.296,False
0,0.73,0.27,0.5719,False
0,0.86,0.14,0.7081,False
0,0.863,0.137,0.6249,False
0.082,0.818,0.1,0.1027,False
0,1,0,0,False
0.155,0.62,0.224,0.3017,False
0.412,0.588,0,-0.2732,False
0,0.831,0.169,0.6705,False
0.072,0.813,0.115,0.223,False
0.048,0.675,0.277,0.9349,False
0.104,0.683,0.213,0.3939,False
0.045,0.801,0.154,0.5267,False
0,0.815,0.185,0.7096,False
0.306,0.623,0.07,-0.8442,False
0,1,0,0,False
0.131,0.869,0,-0.1298,False
0.17,0.83,0,-0.5994,False
0.089,0.821,0.09,0.0108,False
0.182,0.768,0.05,-0.7823,False
0,1,0,0,False
0,0.886,0.114,0.5562,False
0.076,0.869,0.055,-0.296,True
0,0.954,0.046,0.0772,True
0.155,0.72,0.125,-0.1531,True
0.106,0.894,0,-0.4939,True
0,0.806,0.194,0.6486,True
0,1,0,0,True
0.115,0.885,0,-0.6808,True
0.06,0.683,0.257,0.8387,False
0,1,0,0,True
0,0.767,0.233,0.6369,True
0,0.748,0.252,0.5719,True
