@relation reaction_vector

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute class {True,False}

@data
7,3,0,0,0,0,True
8,1,0,0,0,0,True
49,72,1,0,2,6,False
17,1,0,0,0,0,True
5,0,6,0,0,0,True
115,129,0,0,17,10,False
56,49,0,0,0,1,False
108,147,0,0,1,0,False
28,53,0,1,2,0,False
10,6,0,0,0,0,False
37,40,0,0,0,0,False
143,121,0,1,4,16,False
21,4,2,4,0,0,False
397,293,0,1,4,1,False
25,25,0,0,0,0,False
36,42,0,1,1,0,False
3,0,0,0,0,0,False
8,10,0,0,0,0,False
9,8,0,0,0,0,False
66,77,0,0,0,1,False
27,14,3,0,1,0,True
53,42,12,2,0,2,False
51,32,0,0,1,10,False
22,4,13,3,0,1,True
27,0,5,0,0,0,True
38,12,1,0,0,0,True
107,127,0,0,3,8,False
79,89,1,2,1,0,False
72,48,0,0,0,6,False
7,1,0,0,0,0,True
48,45,0,0,4,12,False
59,78,0,0,10,4,False
9,3,2,0,0,1,True
112,78,2,4,41,6,True
12,0,0,4,0,2,True
28,0,0,0,4,1,True
131,0,0,0,72,1,True
24,7,0,0,1,0,True
2,0,0,0,0,0,True
4,1,0,0,0,0,True
78,3,0,2,12,4,True
16,0,0,17,1,0,True
7,0,0,0,3,0,True
16,0,0,0,0,0,True
16,0,0,0,4,0,True
41,5,7,0,0,8,True
9,3,1,1,0,2,True
15,16,1,0,5,0,True
15,0,0,0,2,0,True
3,0,0,2,0,0,True
36,4,0,0,1,1,True
265,397,0,2,14,37,False
12,2,0,0,1,1,True
22,7,0,1,0,6,True
19,28,1,0,2,2,True
347,3,1,0,85,1,True
43,12,0,2,2,3,True
479,2,0,1,173,0,True
33,11,0,0,2,0,True
200,8,0,0,41,39,True
18,6,1,0,0,2,True
459,284,144,8,5,10,False
65,0,0,9,14,0,True
30,1,0,0,0,0,True
371,43,1,0,54,1,True
14,19,2,1,1,7,True
104,40,0,3,3,1,False
17,1,1,0,1,1,True
20,0,1,2,1,3,True
6,0,0,10,0,3,True
71,47,0,0,1,12,False
100,100,0,0,4,0,False
52,0,0,1,1,2,True
18,3,0,0,0,1,True
28,10,14,0,10,2,True
124,0,0,1,20,19,True
115,85,0,0,25,5,False
12,6,0,0,0,2,True
21,9,1,0,2,1,True
18,8,1,0,0,1,True
128,0,0,7,30,1,True
17,1,1,0,1,1,True
206,0,0,0,46,1,True
14,5,0,1,0,1,True
95,147,12,4,2,46,True
8,3,0,0,0,0,True
13,5,0,0,0,2,True
24,15,0,3,2,4,True
45,1,0,0,4,8,True
34,18,0,2,1,3,True
1,0,0,0,0,0,True
7,0,0,0,0,0,True
5,0,6,0,0,0,True
2,2,2,0,0,0,True
5,0,0,0,0,0,True
234,137,0,0,3,0,False
459,270,0,0,30,0,False
726,545,0,0,5,2,False
4,1,0,0,0,0,True
3,0,0,0,0,0,True
8,1,0,0,0,1,True
40,1,0,0,0,0,True
99,9,2,1,12,0,True
776,458,0,1,12,4,False
545,395,0,0,25,2,False
691,495,0,1,15,0,False
223,149,0,1,5,0,False
426,353,0,2,8,0,False
77,31,0,0,1,0,False
248,128,0,0,2,2,False
301,126,4,12,6,3,False
92,57,0,1,1,0,False
2,0,0,0,0,0,True
151,84,0,1,5,0,False
101,69,1,2,1,0,False
60,29,0,0,1,2,False
203,194,0,0,3,1,False
215,101,0,0,2,0,False
44,61,0,0,3,3,False
196,97,0,4,0,0,False
436,598,0,0,10,2,False
295,196,0,0,10,0,False
80,102,0,2,0,8,False
236,247,0,0,1,0,False
461,529,0,0,75,24,False
105,16,1,0,13,3,True
23,2,9,0,1,1,True
11,1,4,6,0,2,True
19,5,2,0,6,1,True
30,1,1,0,0,0,True
