@relation basicinfo_vector

@attribute shares numeric
@attribute comments numeric
@attribute reactions numeric
@attribute images numeric
@attribute links numeric
@attribute class {True,False}

@data
5,84,532,0,2,False
2,18,449,0,2,False
37,131,225,0,2,True
178,30,350,1,2,False
61,69,206,0,2,True
10,16,100,0,2,True
12,162,115,0,2,True
8,161,94,0,2,True
1,77,38,0,2,True
40,18,127,1,2,False
3,42,41,0,2,True
5,225,206,0,2,True
1,46,46,0,2,True
3,37,44,0,2,True
1,20,26,0,2,True
5,22,62,0,2,True
6,132,74,0,2,True
0,7,17,0,2,True
1,7,10,0,2,True
197,36,478,1,2,False
3,7,30,0,2,True
1,60,42,0,2,True
4,31,39,0,2,True
1,24,29,0,2,True
0,1,8,0,2,True
0,5,12,0,2,True
5,25,338,0,2,False
43,254,1255,0,2,False
1,22,134,0,2,False
0,22,6,0,2,True
0,0,4,0,2,True
0,6,2,0,2,True
6,69,547,0,2,False
1,15,30,0,2,True
70,252,1821,0,2,False
6,12,556,0,2,False
4,7,149,0,2,False
14,170,1572,0,2,False
1,5,5,1,5,True
31,18,91,1,2,False
11,116,1096,0,2,False
12,154,651,0,2,False
4,48,670,0,2,False
10,75,661,0,2,False
12,365,691,0,2,False
2,36,167,0,2,False
14,113,555,0,2,False
47,30,161,1,2,False
5,79,682,0,2,False
45,276,2215,1,3,False
27,4,103,1,2,False
0,7,25,0,2,True
19,9,63,1,2,False
4,50,83,0,2,True
5,14,142,0,2,False
4,9,232,0,2,False
7,24,201,0,2,False
5,51,475,0,2,False
1,36,205,0,2,False
3,5,93,0,2,False
16,74,1145,1,3,False
1,35,222,0,2,False
8,75,657,0,2,False
1,59,217,0,2,False
50,96,377,1,3,False
2,92,266,0,2,False
3,33,223,0,2,False
2,13,156,0,2,False
12,65,612,0,2,False
10,60,547,0,2,False
9,37,373,1,3,False
1,12,114,0,2,False
1,38,358,0,2,False
4,5,93,0,2,False
2,5,86,0,2,False
4,29,230,0,2,False
4,126,568,0,2,False
1,14,167,0,2,False
153,33,367,1,2,False
232,32,399,1,2,False
8,0,41,1,2,False
0,11,67,0,2,False
12,3,46,0,2,False
19,0,56,1,2,False
88,14,219,1,2,False
9,9,55,0,2,True
0,1,3,0,2,True
5,71,42,0,2,True
0,0,11,1,3,True
1,3,28,0,2,True
5,174,263,0,2,True
4,48,63,1,4,True
21,2,96,0,2,False
6,11,40,0,2,True
17,56,71,0,2,True
13,52,189,0,2,True
6,17,131,0,2,True
2,10,75,0,2,True
19,407,797,0,2,True
46,24,180,1,2,False
0,1,10,0,2,True
1,15,10,0,2,True
3,1,8,1,3,True
44,29,652,1,3,True
0,0,12,0,2,True
3,56,34,1,3,True
0,7,8,0,2,True
4,7,119,1,3,True
2,14,17,0,2,True
2,21,22,0,2,True
0,11,13,0,4,True
11,72,74,1,3,True
1,4,20,0,3,True
5,23,29,1,3,True
0,0,2,0,2,True
0,8,13,0,2,True
3,6,25,0,4,True
6,42,71,1,3,True
0,1,12,0,2,True
3,15,32,0,2,True
1,67,49,0,2,True
3,63,51,0,2,True
0,0,11,0,2,True
5,21,38,0,2,True
344,1400,2352,1,3,True
2,147,73,1,3,True
0,6,24,0,2,True
1,171,96,1,3,True
0,16,13,1,3,True
0,2,1,0,2,True
0,3,4,0,2,True
0,14,24,1,3,True
0,4,10,0,2,True
1,19,18,0,2,True
20,170,181,1,3,True
83,232,305,0,2,True
0,6,8,0,2,True
0,14,10,0,2,True
1,0,1,0,2,True
29,409,317,1,3,True
0,1,7,1,3,True
588,68,852,1,2,False
23,5,170,0,2,False
885,176,1466,1,2,False
5,6,10,1,4,True
53,10,113,1,2,False
2,4,97,0,2,False
49,15,147,0,2,False
303,49,555,1,2,False
12,20,136,0,2,False
106,19,193,1,2,False
4,20,118,0,2,False
28,8,82,1,2,False
1,15,24,0,2,True
17,61,299,0,2,False
1,10,118,0,2,False
24,6,70,1,2,False
22,3,59,0,2,False
28,7,62,1,2,False
1,0,44,0,2,False
213,44,414,0,2,False
2,2,32,1,3,False
5,6,90,0,2,False
34,140,1379,0,2,False
13,32,174,0,2,False
12,324,873,0,2,False
2,4,53,0,2,False
2,19,200,0,2,False
21,35,109,0,2,False
18,296,1211,0,2,False
5,6,123,0,2,False
0,0,2,0,1,True
4,11,62,0,2,False
68,12,439,0,2,False
1,9,29,0,2,True
67,27,342,0,2,False
9,17,44,0,2,True
1,0,4,0,2,True
2,1,6,0,2,True
0,0,2,0,2,True
5,46,57,0,2,True
286,360,4735,1,3,False
10,53,449,0,2,False
18,91,718,0,2,False
1,3,90,0,2,False
2,54,243,0,2,False
46,36,319,0,2,False
5,52,335,0,2,False
110,53,627,0,2,False
2,58,646,0,2,False
66,115,1419,0,2,False
111,256,2295,0,2,False
1,10,223,0,2,False
2,2,58,0,2,False
3,0,59,0,2,False
7,17,386,0,2,False
5,13,165,0,2,False
4,68,306,0,2,False
57,20,357,0,2,False
6,5,33,0,2,False
15,129,1106,0,2,False
6,261,1068,0,2,False
5,9,114,0,2,False
75,17,160,0,2,False
140,24,393,1,2,False
13,19,106,0,2,False
13,98,808,0,2,False
6,9,110,0,2,False
1,2,12,0,2,True
16,498,1592,0,2,False
6,32,496,0,2,False
0,3,1,0,2,True
98,18,229,1,2,False
36,12,115,1,2,False
1,3,56,0,2,False
4,3,57,1,3,False
7,63,532,0,2,False
3,7,206,0,2,False
17,5,108,0,2,False
1,43,403,0,2,False
201,27,399,1,2,False
4,31,262,0,2,False
0,4,60,0,2,False
1,16,287,0,2,False
91,23,244,1,2,False
12,272,907,0,2,False
17,244,1286,0,2,False
110,21,327,1,7,False
15,242,320,1,3,True
2,2,17,0,2,True
3,4,8,0,2,True
0,6,28,0,2,True
5,17,48,1,3,True
3,32,76,1,3,True
0,5,8,0,2,True
3,3,20,1,3,True
2,116,138,1,3,True
5,23,93,0,2,True
6,37,74,1,3,True
5,11,15,1,3,True
247,69,1003,0,2,True
3,0,17,1,3,True
342,50,652,1,8,False
4,6,83,0,2,False
0,8,15,0,2,True
